ticks
GOOGL
CRM
FB
MSFT
SNCR
IVZ
BEN
ENDP
TEVA
QRTEA
MDP
APRN
LUMN
ABNB
ADBE
AFRM
ATVI
AVLR
CHTR
CMG
COUP
CRWD
DASH
ESTC
GWRE
ICE
MGNI
NCNO
PINS
NFLX
PLTR
SHOP
SNAP
SNOW
SPLK
SPOT
TDOC
TEAM
TWLO
TWTR
ULTA
WDAY
WMG
WORK
ZG
ZM
CNSL
SPTN
RNG
NLS
GCI
TPCO
TDC
KHC
K
LEE
HFFG
REYN
RRGB
ENR
GIS
HAIN
BATL
NKLA
MA
V
RRC
AR
SWN
PTON
LYV
RRD
SBOW
REI
GTE
AXAS
LPI
RIG
TALO
USWS
KLXE
FTCH
RVLV
DISCA
MSP
AMZN
NOW
Afterpay
APPF
CCO
OMC
WPP
IPG
NCMI
CNK
CHS
ANF
EXPR
GES
PLCE
VNCE
MAC
SKT
ETM
COTY
MCS
EPC
PRTY
REV
BUD
TAP
CAJ
GOGO
MSGN
NLSN
SBGI
GTN
TGNA
NXST
CLDR
AMC
DXLG
JILL
SQBG
ICON
BBBY
KR
BJ
PG
CL
SJM
INGR
POST
AVYA
RAD
SPB
CPB
THS
MDLZ
UTZ
ACI
KMB
NWL
LB
GNRC
UNFI
BGS
BIG
W
OSTK
WTRH
MIK
DBD
WDR
IBM
JNPR
XPEV
FCEL
RIDE
HYLN
SOLO
NIO
JKS
CIIC
LAZR
HCAC
LI
VLDR
FSR
MP
AC
MDLY
WETF
